NOC,Year,Sport,Event,Host,Bronze,Gold,Silver,Country,Tier
MON,1924,Art Competitions,Art Competitions Mixed Architecture,FRA,1.0,0.0,0,Monaco,1
MAR,1960,Athletics,Athletics Men's Marathon,ITA,0.0,0.0,1,Morocco,2
MAR,1984,Athletics,Athletics Men's 5000 metres,USA,0.0,1.0,0,Morocco,2
MAR,1984,Athletics,Athletics Women's 400 metres Hurdles,USA,0.0,1.0,0,Morocco,2
MAR,1988,Athletics,Athletics Men's 10000 metres,KOR,0.0,1.0,0,Morocco,2
MAR,1988,Athletics,Athletics Men's 800 metres,KOR,1.0,0.0,0,Morocco,2
MAR,1988,Boxing,Boxing Men's Featherweight,KOR,1.0,0.0,0,Morocco,2
MAR,1992,Athletics,Athletics Men's 1500 metres,ESP,0.0,0.0,1,Morocco,2
MAR,1992,Athletics,Athletics Men's 10000 metres,ESP,0.0,1.0,0,Morocco,2
MAR,1992,Boxing,Boxing Men's Bantamweight,ESP,1.0,0.0,0,Morocco,2
MAR,1996,Athletics,Athletics Men's 10000 metres,USA,1.0,0.0,0,Morocco,2
MAR,1996,Athletics,Athletics Men's 5000 metres,USA,1.0,0.0,0,Morocco,2
MAR,2000,Athletics,Athletics Men's 1500 metres,AUS,0.0,0.0,1,Morocco,2
MAR,2000,Athletics,Athletics Men's 3000 metres Steeplechase,AUS,1.0,0.0,0,Morocco,2
MAR,2000,Athletics,Athletics Men's 5000 metres,AUS,1.0,0.0,0,Morocco,2
MAR,2000,Athletics,Athletics Women's 400 metres Hurdles,AUS,1.0,0.0,0,Morocco,2
MAR,2000,Boxing,Boxing Men's Featherweight,AUS,1.0,0.0,0,Morocco,2
MAR,2004,Athletics,Athletics Men's 1500 metres,GRE,0.0,1.0,0,Morocco,2
MAR,2004,Athletics,Athletics Men's 5000 metres,GRE,0.0,1.0,0,Morocco,2
MAR,2004,Athletics,Athletics Women's 800 metres,GRE,0.0,0.0,1,Morocco,2
MAR,2008,Athletics,Athletics Men's Marathon,CHN,0.0,0.0,1,Morocco,2
MAR,2008,Athletics,Athletics Women's 800 metres,CHN,1.0,0.0,0,Morocco,2
MAR,2012,Athletics,Athletics Men's 1500 metres,GBR,1.0,0.0,0,Morocco,2
MAR,2016,Boxing,Boxing Men's Welterweight,BRA,1.0,0.0,0,Morocco,2
MAR,2020,Athletics,Men's 3000m Steeplechase,JPN,0.0,1.0,0,Morocco,2
MAR,2024,Athletics,Men's 3000m Steeplechase,FRA,0.0,1.0,0,Morocco,2
MAR,2024,Football,Men,FRA,1.0,0.0,0,Morocco,2
AFG,2008,Taekwondo,Taekwondo Men's Flyweight,CHN,1.0,0.0,0,Afghanistan,1
AFG,2012,Taekwondo,Taekwondo Men's Featherweight,GBR,1.0,0.0,0,Afghanistan,1
AHO,1988,Sailing,Sailing Mixed Windsurfer,KOR,0.0,0.0,1,Curacao,1
AIN,2024,Rowing,Men's Single Sculls,FRA,0.0,0.0,1,,1
AIN,2024,Tennis,Women's Doubles,FRA,0.0,0.0,1,,1
AIN,2024,Trampoline Gymnastics,Men,FRA,0.0,1.0,0,,1
AIN,2024,Trampoline Gymnastics,Women,FRA,0.0,0.0,1,,1
AIN,2024,Weightlifting,Men's 102kg,FRA,1.0,0.0,0,,1
ALB,2024,Wrestling,Men's Freestyle 65kg,FRA,1.0,0.0,0,Albania,1
ALB,2024,Wrestling,Men's Freestyle 74kg,FRA,1.0,0.0,0,Albania,1
ALG,1984,Boxing,Boxing Men's Light-Heavyweight,USA,1.0,0.0,0,Algeria,2
ALG,1984,Boxing,Boxing Men's Middleweight,USA,1.0,0.0,0,Algeria,2
ALG,1992,Athletics,Athletics Women's 1500 metres,ESP,0.0,1.0,0,Algeria,2
ALG,1992,Boxing,Boxing Men's Featherweight,ESP,1.0,0.0,0,Algeria,2
ALG,1996,Athletics,Athletics Men's 1500 metres,USA,0.0,1.0,0,Algeria,2
ALG,1996,Boxing,Boxing Men's Lightweight,USA,0.0,1.0,0,Algeria,2
ALG,1996,Boxing,Boxing Men's Middleweight,USA,1.0,0.0,0,Algeria,2
ALG,2000,Athletics,Athletics Men's 5000 metres,AUS,0.0,0.0,1,Algeria,2
ALG,2000,Athletics,Athletics Men's 800 metres,AUS,1.0,0.0,0,Algeria,2
ALG,2000,Athletics,Athletics Men's High Jump,AUS,1.0,0.0,0,Algeria,2
ALG,2000,Athletics,Athletics Women's 1500 metres,AUS,0.0,1.0,0,Algeria,2
ALG,2000,Boxing,Boxing Men's Light-Welterweight,AUS,1.0,0.0,0,Algeria,2
ALG,2008,Judo,Judo Men's Middleweight,CHN,0.0,0.0,1,Algeria,2
ALG,2008,Judo,Judo Women's Half-Lightweight,CHN,1.0,0.0,0,Algeria,2
ALG,2012,Athletics,Athletics Men's 1500 metres,GBR,0.0,1.0,0,Algeria,2
ALG,2016,Athletics,Athletics Men's 1500 metres,BRA,0.0,0.0,1,Algeria,2
ALG,2016,Athletics,Athletics Men's 800 metres,BRA,0.0,0.0,1,Algeria,2
ALG,2024,Artistic Gymnastics,Women's Uneven Bars,FRA,0.0,1.0,0,Algeria,2
ALG,2024,Athletics,Men's 800m,FRA,1.0,0.0,0,Algeria,2
ALG,2024,Boxing,Women's 66kg,FRA,0.0,1.0,0,Algeria,2
ANZ,1908,Athletics,Athletics Men's 3500 metres Walk,GBR,1.0,0.0,0,Australia,4
ANZ,1908,Boxing,Boxing Men's Middleweight,GBR,0.0,0.0,1,Australia,4
ANZ,1908,Rugby,Rugby Men's Rugby,GBR,0.0,1.0,0,Australia,4
ANZ,1908,Swimming,Swimming Men's 1500 metres Freestyle,GBR,1.0,0.0,0,Australia,4
ANZ,1908,Swimming,Swimming Men's 400 metres Freestyle,GBR,0.0,0.0,1,Australia,4
ANZ,1912,Swimming,Swimming Men's 1500 metres Freestyle,SWE,1.0,0.0,0,Australia,4
ANZ,1912,Swimming,Swimming Men's 100 metres Freestyle,SWE,0.0,0.0,1,Australia,4
ANZ,1912,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,SWE,0.0,1.0,0,Australia,4
ANZ,1912,Swimming,Swimming Men's 400 metres Freestyle,SWE,1.0,0.0,0,Australia,4
ANZ,1912,Swimming,Swimming Women's 100 metres Freestyle,SWE,0.0,1.0,1,Australia,4
ANZ,1912,Tennis,Tennis Men's Singles Covered Courts,SWE,1.0,0.0,0,Australia,4
