NOC,Event,medalcount
MAR,"Athletics Men's 1,500 metres",3
MAR,"Athletics Men's 3,000 metres Steeplechase",1
MAR,"Athletics Men's 5,000 metres",2
MAR,Athletics Women's 400 metres Hurdles,1
MAR,Boxing Men's Featherweight,1
ALG,"Athletics Men's 5,000 metres",1
ALG,Athletics Men's 800 metres,2
ALG,Athletics Men's High Jump,1
ALG,"Athletics Women's 1,500 metres",1
ALG,Boxing Men's Light-Welterweight,1
ARG,Hockey Women's Hockey,4
ARG,Sailing Men's Two Person Dinghy,2
ARG,Sailing Men's Windsurfer,1
ARG,Sailing Women's One Person Dinghy,1
ARM,Weightlifting Men's Middleweight,2
AUS,Archery Men's Individual,2
AUS,Athletics Men's Long Jump,2
AUS,Athletics Women's 400 metres,1
AUS,Athletics Women's Pole Vault,1
AUS,Basketball Women's Basketball,4
AUS,Beach Volleyball Women's Beach Volleyball,1
AUS,"Canoeing Men's Kayak Doubles, 500 metres",2
AUS,"Canoeing Women's Kayak Singles, 500 metres",1
AUS,"Cycling Men's 1,000 metres Time Trial",1
AUS,"Cycling Men's Individual Pursuit, 4,000 metres",2
AUS,Cycling Men's Keirin,3
AUS,Cycling Men's Madison,2
AUS,Cycling Men's Team Sprint,1
AUS,Cycling Women's 500 metres Time Trial,2
AUS,Diving Men's Synchronized Springboard,2
AUS,Diving Women's Synchronized Platform,2
AUS,"Equestrianism Mixed Three-Day Event, Individual",1
AUS,"Equestrianism Mixed Three-Day Event, Team",3
AUS,Hockey Men's Hockey,4
AUS,Hockey Women's Hockey,1
AUS,Judo Women's Lightweight,1
AUS,Rowing Men's Coxed Eights,2
AUS,Rowing Men's Coxless Fours,4
AUS,Rowing Men's Coxless Pairs,3
AUS,Rowing Men's Lightweight Coxless Fours,2
AUS,Rowing Women's Coxless Pairs,2
AUS,Sailing Men's Two Person Dinghy,4
AUS,Sailing Mixed Multihull,3
AUS,Sailing Mixed One Person Dinghy,1
AUS,Sailing Women's Two Person Dinghy,2
AUS,Shooting Men's Double Trap,1
AUS,Shooting Men's Trap,2
AUS,"Shooting Women's Air Pistol, 10 metres",1
AUS,Softball Women's Softball,3
AUS,"Swimming Men's 1,500 metres Freestyle",4
AUS,Swimming Men's 100 metres Backstroke,2
AUS,Swimming Men's 100 metres Butterfly,3
AUS,Swimming Men's 200 metres Backstroke,2
AUS,Swimming Men's 200 metres Butterfly,1
AUS,Swimming Men's 200 metres Freestyle,2
AUS,Swimming Men's 4 x 100 metres Freestyle Relay,3
AUS,Swimming Men's 4 x 100 metres Medley Relay,4
AUS,Swimming Men's 4 x 200 metres Freestyle Relay,3
AUS,Swimming Men's 400 metres Freestyle,4
AUS,Swimming Women's 100 metres Breaststroke,4
AUS,Swimming Women's 200 metres Butterfly,5
AUS,Swimming Women's 200 metres Freestyle,3
AUS,Swimming Women's 4 x 100 metres Medley Relay,5
AUS,Swimming Women's 4 x 200 metres Freestyle Relay,4
AUS,Taekwondo Men's Heavyweight,1
AUS,Taekwondo Women's Flyweight,1
AUS,Tennis Men's Doubles,1
AUS,Trampolining Men's Individual,1
AUS,Triathlon Women's Olympic Distance,5
AUS,Water Polo Women's Water Polo,3
AUT,Athletics Women's 800 metres,1
AUT,Sailing Men's Windsurfer,1
AUT,Sailing Mixed Multihull,3
AZE,Boxing Men's Middleweight,2
AZE,Shooting Women's Skeet,2
AZE,"Wrestling Men's Bantamweight, Freestyle",1
BAH,Athletics Men's 4 x 400 metres Relay,4
BAH,Athletics Women's 200 metres,2
BAH,Athletics Women's 4 x 100 metres Relay,1
BAR,Athletics Men's 100 metres,1
BEL,Cycling Men's Madison,1
BEL,"Cycling Men's Mountainbike, Cross-Country",1
BEL,Judo Women's Extra-Lightweight,2
BEL,Judo Women's Half-Middleweight,1
BEL,Tennis Women's Doubles,1
BLR,Athletics Men's Hammer Throw,4
BLR,Athletics Women's Discus Throw,2
BLR,Athletics Women's Heptathlon,1
BLR,Athletics Women's Shot Put,3
BLR,Judo Men's Lightweight,1
BLR,Modern Pentathlon Men's Individual,1
BLR,Rhythmic Gymnastics Women's Group,3
BLR,Rhythmic Gymnastics Women's Individual,3
BLR,Rowing Women's Single Sculls,3
BLR,"Shooting Men's Air Pistol, 10 metres",1
BLR,"Shooting Men's Free Pistol, 50 metres",1
BLR,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",3
BLR,"Shooting Women's Sporting Pistol, 25 metres",1
BLR,Weightlifting Men's Featherweight,1
BLR,Weightlifting Men's Lightweight,1
BLR,"Wrestling Men's Super-Heavyweight, Greco-Roman",1
BRA,Athletics Men's 4 x 100 metres Relay,2
BRA,Basketball Women's Basketball,1
BRA,Beach Volleyball Men's Beach Volleyball,6
BRA,Beach Volleyball Women's Beach Volleyball,5
BRA,"Equestrianism Mixed Jumping, Team",1
BRA,Judo Men's Lightweight,3
BRA,Judo Men's Middleweight,1
BRA,Sailing Mixed One Person Dinghy,2
BRA,Sailing Mixed Two Person Keelboat,1
BRA,Swimming Men's 4 x 100 metres Freestyle Relay,1
BRA,Volleyball Women's Volleyball,3
BUL,Athletics Women's Triple Jump,1
BUL,"Canoeing Men's Kayak Singles, 1,000 metres",1
BUL,"Canoeing Men's Kayak Singles, 500 metres",1
BUL,Gymnastics Men's Floor Exercise,2
BUL,Gymnastics Men's Rings,2
BUL,Rowing Women's Single Sculls,3
BUL,"Shooting Men's Free Pistol, 50 metres",1
BUL,"Shooting Women's Sporting Pistol, 25 metres",2
BUL,Weightlifting Men's Heavyweight,1
BUL,Weightlifting Men's Lightweight,2
BUL,"Wrestling Men's Featherweight, Greco-Roman",1
BUL,"Wrestling Men's Lightweight, Freestyle",1
CAN,"Canoeing Men's Canadian Singles, 1,000 metres",3
CAN,"Canoeing Women's Kayak Singles, 500 metres",2
CAN,Diving Women's Platform,3
CAN,Diving Women's Synchronized Platform,4
CAN,Judo Men's Half-Heavyweight,1
CAN,Rowing Women's Coxed Eights,2
CAN,Swimming Men's 400 metres Individual Medley,1
CAN,Synchronized Swimming Women's Team,1
CAN,Taekwondo Women's Heavyweight,1
CAN,Tennis Men's Doubles,1
CAN,Trampolining Men's Individual,2
CAN,Trampolining Women's Individual,5
CAN,Triathlon Men's Olympic Distance,2
CAN,"Wrestling Men's Welterweight, Freestyle",1
CHI,Football Men's Football,1
CHN,Athletics Women's 20 kilometres Walk,4
CHN,Badminton Men's Singles,7
CHN,Badminton Mixed Doubles,6
CHN,Badminton Women's Doubles,8
CHN,Badminton Women's Singles,8
CHN,Cycling Women's 500 metres Time Trial,2
CHN,Diving Men's Platform,7
CHN,Diving Men's Springboard,7
CHN,Diving Men's Synchronized Platform,5
CHN,Diving Men's Synchronized Springboard,4
CHN,Diving Women's Platform,7
CHN,Diving Women's Springboard,10
CHN,Diving Women's Synchronized Platform,5
CHN,Diving Women's Synchronized Springboard,5
CHN,"Fencing Men's Foil, Team",2
CHN,"Fencing Women's epee, Team",3
CHN,Gymnastics Men's Individual All-Around,2
CHN,Gymnastics Men's Parallel Bars,4
CHN,Gymnastics Men's Team All-Around,4
CHN,Gymnastics Women's Balance Beam,4
CHN,Gymnastics Women's Individual All-Around,3
CHN,Gymnastics Women's Uneven Bars,5
CHN,Judo Women's Half-Heavyweight,3
CHN,Judo Women's Half-Lightweight,3
CHN,Judo Women's Half-Middleweight,2
CHN,Judo Women's Heavyweight,5
CHN,"Shooting Men's Air Pistol, 10 metres",4
CHN,"Shooting Men's Air Rifle, 10 metres",4
CHN,"Shooting Men's Running Target, 10 metres",2
CHN,"Shooting Women's Air Pistol, 10 metres",4
CHN,"Shooting Women's Air Rifle, 10 metres",6
CHN,"Shooting Women's Sporting Pistol, 25 metres",3
CHN,Shooting Women's Trap,1
CHN,Table Tennis Men's Doubles,3
CHN,Table Tennis Men's Singles,11
CHN,Table Tennis Women's Doubles,4
CHN,Table Tennis Women's Singles,10
CHN,Taekwondo Women's Heavyweight,3
CHN,Weightlifting Men's Bantamweight,6
CHN,Weightlifting Men's Middleweight,5
CHN,Weightlifting Women's Featherweight,1
CHN,Weightlifting Women's Light-Heavyweight,4
CHN,Weightlifting Women's Middleweight,2
CHN,Weightlifting Women's Super-Heavyweight,4
CHN,"Wrestling Men's Featherweight, Greco-Roman",1
CMR,Football Men's Football,1
COL,Weightlifting Women's Heavyweight,1
CRC,Swimming Women's 200 metres Freestyle,1
CRC,Swimming Women's 400 metres Freestyle,1
CRO,Rowing Men's Coxed Eights,1
CRO,Weightlifting Men's Featherweight,1
CUB,Athletics Men's 110 metres Hurdles,3
CUB,Athletics Men's 4 x 100 metres Relay,1
CUB,Athletics Men's High Jump,1
CUB,Athletics Men's Long Jump,2
CUB,Athletics Men's Triple Jump,1
CUB,Athletics Women's Javelin Throw,2
CUB,Baseball Men's Baseball,3
CUB,Boxing Men's Bantamweight,5
CUB,Boxing Men's Heavyweight,4
CUB,Boxing Men's Light-Flyweight,4
CUB,Boxing Men's Lightweight,5
CUB,Boxing Men's Light-Welterweight,4
CUB,Boxing Men's Middleweight,3
CUB,"Canoeing Men's Canadian Doubles, 1,000 metres",1
CUB,"Canoeing Men's Canadian Singles, 1,000 metres",1
CUB,"Fencing Men's epee, Team",1
CUB,Judo Men's Extra-Lightweight,1
CUB,Judo Women's Half-Lightweight,3
CUB,Judo Women's Heavyweight,5
CUB,Judo Women's Lightweight,2
CUB,Judo Women's Middleweight,2
CUB,Taekwondo Men's Welterweight,1
CUB,Taekwondo Women's Flyweight,3
CUB,Volleyball Women's Volleyball,2
CUB,"Wrestling Men's Bantamweight, Greco-Roman",1
CUB,"Wrestling Men's Light-Heavyweight, Freestyle",1
CUB,"Wrestling Men's Lightweight, Greco-Roman",2
CUB,"Wrestling Men's Super-Heavyweight, Freestyle",1
CUB,"Wrestling Men's Welterweight, Greco-Roman",1
CZE,Athletics Men's Decathlon,2
CZE,Athletics Men's Javelin Throw,1
CZE,Boxing Men's Light-Heavyweight,1
CZE,"Canoeing Men's Canadian Doubles, Slalom",3
CZE,"Canoeing Women's Kayak Singles, Slalom",1
CZE,"Shooting Men's Free Pistol, 50 metres",1
CZE,Shooting Men's Skeet,1
CZE,Triathlon Men's Olympic Distance,1
DEN,Athletics Men's 800 metres,2
DEN,Badminton Women's Singles,1
DEN,Handball Women's Handball,2
DEN,Rowing Men's Lightweight Coxless Fours,5
DEN,Sailing Mixed Three Person Keelboat,1
DEN,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1
ESP,Athletics Women's 20 kilometres Walk,1
ESP,Boxing Men's Light-Flyweight,1
ESP,Cycling Men's Points Race,3
ESP,"Cycling Women's Mountainbike, Cross-Country",1
ESP,Football Men's Football,1
ESP,Gymnastics Men's Horse Vault,2
ESP,Handball Men's Handball,2
ESP,Judo Women's Lightweight,1
ESP,Swimming Women's 100 metres Backstroke,1
ESP,Taekwondo Men's Flyweight,2
ESP,Tennis Men's Doubles,2
EST,Athletics Men's Decathlon,1
EST,Judo Men's Half-Middleweight,1
EST,Judo Men's Heavyweight,2
ETH,"Athletics Men's 10,000 metres",8
ETH,"Athletics Men's 5,000 metres",5
ETH,Athletics Men's Marathon,4
ETH,"Athletics Women's 10,000 metres",8
ETH,"Athletics Women's 5,000 metres",8
FIN,Athletics Men's Shot Put,1
FIN,Sailing Mixed Skiff,1
FIN,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1
FIN,"Wrestling Men's Middleweight, Greco-Roman",2
FRA,Basketball Men's Basketball,1
FRA,Boxing Men's Flyweight,2
FRA,Boxing Men's Light-Flyweight,1
FRA,"Canoeing Men's Canadian Singles, Slalom",4
FRA,"Canoeing Women's Kayak Singles, Slalom",3
FRA,Cycling Men's Keirin,1
FRA,"Cycling Men's Mountainbike, Cross-Country",4
FRA,Cycling Men's Sprint,3
FRA,Cycling Men's Team Sprint,5
FRA,Cycling Women's 500 metres Time Trial,1
FRA,"Cycling Women's Individual Pursuit, 3,000 metres",1
FRA,Cycling Women's Individual Time Trial,1
FRA,Cycling Women's Sprint,1
FRA,"Fencing Men's epee, Individual",3
FRA,"Fencing Men's epee, Team",4
FRA,"Fencing Men's Foil, Team",2
FRA,"Fencing Men's Sabre, Individual",2
FRA,"Fencing Men's Sabre, Team",3
FRA,"Fencing Women's epee, Individual",3
FRA,Gymnastics Men's Horizontal Bar,1
FRA,Gymnastics Men's Pommelled Horse,1
FRA,Judo Men's Half-Heavyweight,2
FRA,Judo Men's Half-Lightweight,2
FRA,Judo Men's Heavyweight,4
FRA,Judo Men's Middleweight,1
FRA,Judo Women's Half-Heavyweight,4
FRA,Judo Women's Half-Middleweight,4
FRA,Rowing Men's Coxless Pairs,2
FRA,Rowing Men's Lightweight Coxless Fours,2
FRA,Rowing Men's Lightweight Double Sculls,3
FRA,"Shooting Men's Air Pistol, 10 metres",1
FRA,Shooting Women's Trap,2
FRA,Swimming Women's 200 metres Backstroke,1
FRA,Synchronized Swimming Women's Duet,1
FRA,Table Tennis Men's Doubles,1
FRA,Taekwondo Men's Heavyweight,2
FRA,Tennis Men's Singles,1
GBR,Athletics Men's 200 metres,1
GBR,Athletics Men's Javelin Throw,1
GBR,Athletics Men's Triple Jump,2
GBR,Athletics Women's 400 metres,3
GBR,Athletics Women's 800 metres,2
GBR,Athletics Women's Heptathlon,4
GBR,Badminton Mixed Doubles,2
GBR,Boxing Men's Super-Heavyweight,4
GBR,"Canoeing Men's Kayak Singles, 1,000 metres",2
GBR,"Canoeing Men's Kayak Singles, Slalom",3
GBR,"Cycling Men's 1,000 metres Time Trial",2
GBR,"Cycling Men's Team Pursuit, 4,000 metres",5
GBR,Cycling Men's Team Sprint,4
GBR,"Cycling Women's Individual Pursuit, 3,000 metres",3
GBR,"Equestrianism Mixed Three-Day Event, Team",4
GBR,Judo Women's Middleweight,2
GBR,Modern Pentathlon Women's Individual,5
GBR,Rowing Men's Coxed Eights,4
GBR,Rowing Men's Coxless Fours,5
GBR,Rowing Women's Quadruple Sculls,3
GBR,Sailing Men's One Person Dinghy,3
GBR,Sailing Mixed One Person Dinghy,2
GBR,Sailing Mixed Skiff,2
GBR,Sailing Mixed Two Person Keelboat,1
GBR,Sailing Women's One Person Dinghy,1
GBR,Shooting Men's Double Trap,3
GBR,Shooting Men's Trap,2
GEO,Boxing Men's Heavyweight,1
GEO,Judo Men's Half-Lightweight,2
GEO,Weightlifting Men's Light-Heavyweight,2
GEO,"Wrestling Men's Heavyweight, Freestyle",3
GEO,"Wrestling Men's Light-Heavyweight, Greco-Roman",1
GEO,"Wrestling Men's Lightweight, Greco-Roman",2
GER,Archery Women's Team,1
GER,Athletics Men's 800 metres,1
GER,Athletics Men's Discus Throw,4
GER,Athletics Women's Hammer Throw,2
GER,Athletics Women's Long Jump,1
GER,Athletics Women's Shot Put,2
GER,Beach Volleyball Men's Beach Volleyball,2
GER,Boxing Men's Heavyweight,1
GER,"Canoeing Men's Canadian Doubles, 1,000 metres",5
GER,"Canoeing Men's Canadian Singles, 1,000 metres",4
GER,"Canoeing Men's Canadian Singles, 500 metres",2
GER,"Canoeing Men's Kayak Doubles, 500 metres",3
GER,"Canoeing Men's Kayak Fours, 1,000 metres",4
GER,"Canoeing Men's Kayak Singles, Slalom",3
GER,"Canoeing Women's Kayak Doubles, 500 metres",4
GER,"Canoeing Women's Kayak Fours, 500 metres",5
GER,"Cycling Men's 1,000 metres Time Trial",2
GER,"Cycling Men's Individual Pursuit, 4,000 metres",2
GER,Cycling Men's Individual Time Trial,2
GER,Cycling Men's Keirin,2
GER,"Cycling Men's Road Race, Individual",2
GER,Cycling Men's Sprint,2
GER,"Cycling Men's Team Pursuit, 4,000 metres",1
GER,"Cycling Women's Road Race, Individual",2
GER,Diving Men's Synchronized Platform,2
GER,Diving Women's Springboard,1
GER,"Equestrianism Mixed Dressage, Individual",7
GER,"Equestrianism Mixed Dressage, Team",5
GER,"Equestrianism Mixed Jumping, Team",3
GER,"Fencing Men's Foil, Individual",2
GER,"Fencing Men's Sabre, Individual",1
GER,"Fencing Men's Sabre, Team",1
GER,"Fencing Women's Foil, Individual",1
GER,"Fencing Women's Foil, Team",1
GER,Football Women's Football,4
GER,Judo Women's Extra-Lightweight,2
GER,Rowing Men's Quadruple Sculls,3
GER,Rowing Men's Single Sculls,1
GER,Rowing Women's Double Sculls,3
GER,Rowing Women's Lightweight Double Sculls,2
GER,Rowing Women's Quadruple Sculls,5
