NOC,Event,Influence
MAR,"Athletics Men's 1,500 metres",0.2
MAR,"Athletics Men's 3,000 metres Steeplechase",0.06666666666666667
MAR,"Athletics Men's 5,000 metres",0.13333333333333333
MAR,Athletics Women's 400 metres Hurdles,0.06666666666666667
MAR,Boxing Men's Featherweight,0.06666666666666667
ALG,"Athletics Men's 5,000 metres",0.07692307692307693
ALG,Athletics Men's 800 metres,0.15384615384615385
ALG,Athletics Men's High Jump,0.07692307692307693
ALG,"Athletics Women's 1,500 metres",0.07692307692307693
ALG,Boxing Men's Light-Welterweight,0.07692307692307693
ARG,Hockey Women's Hockey,0.13333333333333333
ARG,Sailing Men's Two Person Dinghy,0.06666666666666667
ARG,Sailing Men's Windsurfer,0.03333333333333333
ARG,Sailing Women's One Person Dinghy,0.03333333333333333
ARM,Weightlifting Men's Middleweight,0.09090909090909091
AUS,Archery Men's Individual,0.006329113924050633
AUS,Athletics Men's Long Jump,0.006329113924050633
AUS,Athletics Women's 400 metres,0.0031645569620253164
AUS,Athletics Women's Pole Vault,0.0031645569620253164
AUS,Basketball Women's Basketball,0.012658227848101266
AUS,Beach Volleyball Women's Beach Volleyball,0.0031645569620253164
AUS,"Canoeing Men's Kayak Doubles, 500 metres",0.006329113924050633
AUS,"Canoeing Women's Kayak Singles, 500 metres",0.0031645569620253164
AUS,"Cycling Men's 1,000 metres Time Trial",0.0031645569620253164
AUS,"Cycling Men's Individual Pursuit, 4,000 metres",0.006329113924050633
AUS,Cycling Men's Keirin,0.00949367088607595
AUS,Cycling Men's Madison,0.006329113924050633
AUS,Cycling Men's Team Sprint,0.0031645569620253164
AUS,Cycling Women's 500 metres Time Trial,0.006329113924050633
AUS,Diving Men's Synchronized Springboard,0.006329113924050633
AUS,Diving Women's Synchronized Platform,0.006329113924050633
AUS,"Equestrianism Mixed Three-Day Event, Individual",0.0031645569620253164
AUS,"Equestrianism Mixed Three-Day Event, Team",0.00949367088607595
AUS,Hockey Men's Hockey,0.012658227848101266
AUS,Hockey Women's Hockey,0.0031645569620253164
AUS,Judo Women's Lightweight,0.0031645569620253164
AUS,Rowing Men's Coxed Eights,0.006329113924050633
AUS,Rowing Men's Coxless Fours,0.012658227848101266
AUS,Rowing Men's Coxless Pairs,0.00949367088607595
AUS,Rowing Men's Lightweight Coxless Fours,0.006329113924050633
AUS,Rowing Women's Coxless Pairs,0.006329113924050633
AUS,Sailing Men's Two Person Dinghy,0.012658227848101266
AUS,Sailing Mixed Multihull,0.00949367088607595
AUS,Sailing Mixed One Person Dinghy,0.0031645569620253164
AUS,Sailing Women's Two Person Dinghy,0.006329113924050633
AUS,Shooting Men's Double Trap,0.0031645569620253164
AUS,Shooting Men's Trap,0.006329113924050633
AUS,"Shooting Women's Air Pistol, 10 metres",0.0031645569620253164
AUS,Softball Women's Softball,0.00949367088607595
AUS,"Swimming Men's 1,500 metres Freestyle",0.012658227848101266
AUS,Swimming Men's 100 metres Backstroke,0.006329113924050633
AUS,Swimming Men's 100 metres Butterfly,0.00949367088607595
AUS,Swimming Men's 200 metres Backstroke,0.006329113924050633
AUS,Swimming Men's 200 metres Butterfly,0.0031645569620253164
AUS,Swimming Men's 200 metres Freestyle,0.006329113924050633
AUS,Swimming Men's 4 x 100 metres Freestyle Relay,0.00949367088607595
AUS,Swimming Men's 4 x 100 metres Medley Relay,0.012658227848101266
AUS,Swimming Men's 4 x 200 metres Freestyle Relay,0.00949367088607595
AUS,Swimming Men's 400 metres Freestyle,0.012658227848101266
AUS,Swimming Women's 100 metres Breaststroke,0.012658227848101266
AUS,Swimming Women's 200 metres Butterfly,0.015822784810126583
AUS,Swimming Women's 200 metres Freestyle,0.00949367088607595
AUS,Swimming Women's 4 x 100 metres Medley Relay,0.015822784810126583
AUS,Swimming Women's 4 x 200 metres Freestyle Relay,0.012658227848101266
AUS,Taekwondo Men's Heavyweight,0.0031645569620253164
AUS,Taekwondo Women's Flyweight,0.0031645569620253164
AUS,Tennis Men's Doubles,0.0031645569620253164
AUS,Trampolining Men's Individual,0.0031645569620253164
AUS,Triathlon Women's Olympic Distance,0.015822784810126583
AUS,Water Polo Women's Water Polo,0.00949367088607595
AUT,Athletics Women's 800 metres,0.038461538461538464
AUT,Sailing Men's Windsurfer,0.038461538461538464
AUT,Sailing Mixed Multihull,0.11538461538461539
AZE,Boxing Men's Middleweight,0.03508771929824561
AZE,Shooting Women's Skeet,0.03508771929824561
AZE,"Wrestling Men's Bantamweight, Freestyle",0.017543859649122806
BAH,Athletics Men's 4 x 400 metres Relay,0.3333333333333333
BAH,Athletics Women's 200 metres,0.16666666666666666
BAH,Athletics Women's 4 x 100 metres Relay,0.08333333333333333
BAR,Athletics Men's 100 metres,1.0
BEL,Cycling Men's Madison,0.02857142857142857
BEL,"Cycling Men's Mountainbike, Cross-Country",0.02857142857142857
BEL,Judo Women's Extra-Lightweight,0.05714285714285714
BEL,Judo Women's Half-Middleweight,0.02857142857142857
BEL,Tennis Women's Doubles,0.02857142857142857
BLR,Athletics Men's Hammer Throw,0.05263157894736842
BLR,Athletics Women's Discus Throw,0.02631578947368421
BLR,Athletics Women's Heptathlon,0.013157894736842105
BLR,Athletics Women's Shot Put,0.039473684210526314
BLR,Judo Men's Lightweight,0.013157894736842105
BLR,Modern Pentathlon Men's Individual,0.013157894736842105
BLR,Rhythmic Gymnastics Women's Group,0.039473684210526314
BLR,Rhythmic Gymnastics Women's Individual,0.039473684210526314
BLR,Rowing Women's Single Sculls,0.039473684210526314
BLR,"Shooting Men's Air Pistol, 10 metres",0.013157894736842105
BLR,"Shooting Men's Free Pistol, 50 metres",0.013157894736842105
BLR,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0.039473684210526314
BLR,"Shooting Women's Sporting Pistol, 25 metres",0.013157894736842105
BLR,Weightlifting Men's Featherweight,0.013157894736842105
BLR,Weightlifting Men's Lightweight,0.013157894736842105
BLR,"Wrestling Men's Super-Heavyweight, Greco-Roman",0.013157894736842105
BRA,Athletics Men's 4 x 100 metres Relay,0.017391304347826087
BRA,Basketball Women's Basketball,0.008695652173913044
BRA,Beach Volleyball Men's Beach Volleyball,0.05217391304347826
BRA,Beach Volleyball Women's Beach Volleyball,0.043478260869565216
BRA,"Equestrianism Mixed Jumping, Team",0.008695652173913044
BRA,Judo Men's Lightweight,0.02608695652173913
BRA,Judo Men's Middleweight,0.008695652173913044
BRA,Sailing Mixed One Person Dinghy,0.017391304347826087
BRA,Sailing Mixed Two Person Keelboat,0.008695652173913044
BRA,Swimming Men's 4 x 100 metres Freestyle Relay,0.008695652173913044
BRA,Volleyball Women's Volleyball,0.02608695652173913
BUL,Athletics Women's Triple Jump,0.020833333333333332
BUL,"Canoeing Men's Kayak Singles, 1,000 metres",0.020833333333333332
BUL,"Canoeing Men's Kayak Singles, 500 metres",0.020833333333333332
BUL,Gymnastics Men's Floor Exercise,0.041666666666666664
BUL,Gymnastics Men's Rings,0.041666666666666664
BUL,Rowing Women's Single Sculls,0.0625
BUL,"Shooting Men's Free Pistol, 50 metres",0.020833333333333332
BUL,"Shooting Women's Sporting Pistol, 25 metres",0.041666666666666664
BUL,Weightlifting Men's Heavyweight,0.020833333333333332
BUL,Weightlifting Men's Lightweight,0.041666666666666664
BUL,"Wrestling Men's Featherweight, Greco-Roman",0.020833333333333332
BUL,"Wrestling Men's Lightweight, Freestyle",0.020833333333333332
CAN,"Canoeing Men's Canadian Singles, 1,000 metres",0.022058823529411766
CAN,"Canoeing Women's Kayak Singles, 500 metres",0.014705882352941176
CAN,Diving Women's Platform,0.022058823529411766
CAN,Diving Women's Synchronized Platform,0.029411764705882353
CAN,Judo Men's Half-Heavyweight,0.007352941176470588
CAN,Rowing Women's Coxed Eights,0.014705882352941176
CAN,Swimming Men's 400 metres Individual Medley,0.007352941176470588
CAN,Synchronized Swimming Women's Team,0.007352941176470588
CAN,Taekwondo Women's Heavyweight,0.007352941176470588
CAN,Tennis Men's Doubles,0.007352941176470588
CAN,Trampolining Men's Individual,0.014705882352941176
CAN,Trampolining Women's Individual,0.03676470588235294
CAN,Triathlon Men's Olympic Distance,0.014705882352941176
CAN,"Wrestling Men's Welterweight, Freestyle",0.007352941176470588
CHI,Football Men's Football,0.14285714285714285
CHN,Athletics Women's 20 kilometres Walk,0.007168458781362007
CHN,Badminton Men's Singles,0.012544802867383513
CHN,Badminton Mixed Doubles,0.010752688172043012
CHN,Badminton Women's Doubles,0.014336917562724014
CHN,Badminton Women's Singles,0.014336917562724014
CHN,Cycling Women's 500 metres Time Trial,0.0035842293906810036
CHN,Diving Men's Platform,0.012544802867383513
CHN,Diving Men's Springboard,0.012544802867383513
CHN,Diving Men's Synchronized Platform,0.008960573476702509
CHN,Diving Men's Synchronized Springboard,0.007168458781362007
CHN,Diving Women's Platform,0.012544802867383513
CHN,Diving Women's Springboard,0.017921146953405017
CHN,Diving Women's Synchronized Platform,0.008960573476702509
CHN,Diving Women's Synchronized Springboard,0.008960573476702509
CHN,"Fencing Men's Foil, Team",0.0035842293906810036
CHN,"Fencing Women's epee, Team",0.005376344086021506
CHN,Gymnastics Men's Individual All-Around,0.0035842293906810036
CHN,Gymnastics Men's Parallel Bars,0.007168458781362007
CHN,Gymnastics Men's Team All-Around,0.007168458781362007
CHN,Gymnastics Women's Balance Beam,0.007168458781362007
CHN,Gymnastics Women's Individual All-Around,0.005376344086021506
CHN,Gymnastics Women's Uneven Bars,0.008960573476702509
CHN,Judo Women's Half-Heavyweight,0.005376344086021506
CHN,Judo Women's Half-Lightweight,0.005376344086021506
CHN,Judo Women's Half-Middleweight,0.0035842293906810036
CHN,Judo Women's Heavyweight,0.008960573476702509
CHN,"Shooting Men's Air Pistol, 10 metres",0.007168458781362007
CHN,"Shooting Men's Air Rifle, 10 metres",0.007168458781362007
CHN,"Shooting Men's Running Target, 10 metres",0.0035842293906810036
CHN,"Shooting Women's Air Pistol, 10 metres",0.007168458781362007
CHN,"Shooting Women's Air Rifle, 10 metres",0.010752688172043012
CHN,"Shooting Women's Sporting Pistol, 25 metres",0.005376344086021506
CHN,Shooting Women's Trap,0.0017921146953405018
CHN,Table Tennis Men's Doubles,0.005376344086021506
CHN,Table Tennis Men's Singles,0.01971326164874552
CHN,Table Tennis Women's Doubles,0.007168458781362007
CHN,Table Tennis Women's Singles,0.017921146953405017
CHN,Taekwondo Women's Heavyweight,0.005376344086021506
CHN,Weightlifting Men's Bantamweight,0.010752688172043012
CHN,Weightlifting Men's Middleweight,0.008960573476702509
CHN,Weightlifting Women's Featherweight,0.0017921146953405018
CHN,Weightlifting Women's Light-Heavyweight,0.007168458781362007
CHN,Weightlifting Women's Middleweight,0.0035842293906810036
CHN,Weightlifting Women's Super-Heavyweight,0.007168458781362007
CHN,"Wrestling Men's Featherweight, Greco-Roman",0.0017921146953405018
CMR,Football Men's Football,0.3333333333333333
COL,Weightlifting Women's Heavyweight,0.03333333333333333
CRC,Swimming Women's 200 metres Freestyle,0.5
CRC,Swimming Women's 400 metres Freestyle,0.5
CRO,Rowing Men's Coxed Eights,0.023255813953488372
CRO,Weightlifting Men's Featherweight,0.023255813953488372
CUB,Athletics Men's 110 metres Hurdles,0.023255813953488372
CUB,Athletics Men's 4 x 100 metres Relay,0.007751937984496124
CUB,Athletics Men's High Jump,0.007751937984496124
CUB,Athletics Men's Long Jump,0.015503875968992248
CUB,Athletics Men's Triple Jump,0.007751937984496124
CUB,Athletics Women's Javelin Throw,0.015503875968992248
CUB,Baseball Men's Baseball,0.023255813953488372
CUB,Boxing Men's Bantamweight,0.03875968992248062
CUB,Boxing Men's Heavyweight,0.031007751937984496
CUB,Boxing Men's Light-Flyweight,0.031007751937984496
CUB,Boxing Men's Lightweight,0.03875968992248062
CUB,Boxing Men's Light-Welterweight,0.031007751937984496
CUB,Boxing Men's Middleweight,0.023255813953488372
CUB,"Canoeing Men's Canadian Doubles, 1,000 metres",0.007751937984496124
CUB,"Canoeing Men's Canadian Singles, 1,000 metres",0.007751937984496124
CUB,"Fencing Men's epee, Team",0.007751937984496124
CUB,Judo Men's Extra-Lightweight,0.007751937984496124
CUB,Judo Women's Half-Lightweight,0.023255813953488372
CUB,Judo Women's Heavyweight,0.03875968992248062
CUB,Judo Women's Lightweight,0.015503875968992248
CUB,Judo Women's Middleweight,0.015503875968992248
CUB,Taekwondo Men's Welterweight,0.007751937984496124
CUB,Taekwondo Women's Flyweight,0.023255813953488372
CUB,Volleyball Women's Volleyball,0.015503875968992248
CUB,"Wrestling Men's Bantamweight, Greco-Roman",0.007751937984496124
CUB,"Wrestling Men's Light-Heavyweight, Freestyle",0.007751937984496124
CUB,"Wrestling Men's Lightweight, Greco-Roman",0.015503875968992248
CUB,"Wrestling Men's Super-Heavyweight, Freestyle",0.007751937984496124
CUB,"Wrestling Men's Welterweight, Greco-Roman",0.007751937984496124
CZE,Athletics Men's Decathlon,0.03389830508474576
CZE,Athletics Men's Javelin Throw,0.01694915254237288
CZE,Boxing Men's Light-Heavyweight,0.01694915254237288
CZE,"Canoeing Men's Canadian Doubles, Slalom",0.05084745762711865
CZE,"Canoeing Women's Kayak Singles, Slalom",0.01694915254237288
CZE,"Shooting Men's Free Pistol, 50 metres",0.01694915254237288
CZE,Shooting Men's Skeet,0.01694915254237288
CZE,Triathlon Men's Olympic Distance,0.01694915254237288
DEN,Athletics Men's 800 metres,0.03076923076923077
DEN,Badminton Women's Singles,0.015384615384615385
DEN,Handball Women's Handball,0.03076923076923077
DEN,Rowing Men's Lightweight Coxless Fours,0.07692307692307693
DEN,Sailing Mixed Three Person Keelboat,0.015384615384615385
DEN,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0.015384615384615385
ESP,Athletics Women's 20 kilometres Walk,0.00847457627118644
ESP,Boxing Men's Light-Flyweight,0.00847457627118644
ESP,Cycling Men's Points Race,0.025423728813559324
ESP,"Cycling Women's Mountainbike, Cross-Country",0.00847457627118644
ESP,Football Men's Football,0.00847457627118644
ESP,Gymnastics Men's Horse Vault,0.01694915254237288
ESP,Handball Men's Handball,0.01694915254237288
ESP,Judo Women's Lightweight,0.00847457627118644
ESP,Swimming Women's 100 metres Backstroke,0.00847457627118644
ESP,Taekwondo Men's Flyweight,0.01694915254237288
ESP,Tennis Men's Doubles,0.01694915254237288
EST,Athletics Men's Decathlon,0.07692307692307693
EST,Judo Men's Half-Middleweight,0.07692307692307693
EST,Judo Men's Heavyweight,0.15384615384615385
ETH,"Athletics Men's 10,000 metres",0.17777777777777778
ETH,"Athletics Men's 5,000 metres",0.1111111111111111
ETH,Athletics Men's Marathon,0.08888888888888889
ETH,"Athletics Women's 10,000 metres",0.17777777777777778
ETH,"Athletics Women's 5,000 metres",0.17777777777777778
FIN,Athletics Men's Shot Put,0.0625
FIN,Sailing Mixed Skiff,0.0625
FIN,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0.0625
FIN,"Wrestling Men's Middleweight, Greco-Roman",0.125
FRA,Basketball Men's Basketball,0.0034965034965034965
FRA,Boxing Men's Flyweight,0.006993006993006993
FRA,Boxing Men's Light-Flyweight,0.0034965034965034965
FRA,"Canoeing Men's Canadian Singles, Slalom",0.013986013986013986
FRA,"Canoeing Women's Kayak Singles, Slalom",0.01048951048951049
FRA,Cycling Men's Keirin,0.0034965034965034965
FRA,"Cycling Men's Mountainbike, Cross-Country",0.013986013986013986
FRA,Cycling Men's Sprint,0.01048951048951049
FRA,Cycling Men's Team Sprint,0.017482517482517484
FRA,Cycling Women's 500 metres Time Trial,0.0034965034965034965
FRA,"Cycling Women's Individual Pursuit, 3,000 metres",0.0034965034965034965
FRA,Cycling Women's Individual Time Trial,0.0034965034965034965
FRA,Cycling Women's Sprint,0.0034965034965034965
FRA,"Fencing Men's epee, Individual",0.01048951048951049
FRA,"Fencing Men's epee, Team",0.013986013986013986
FRA,"Fencing Men's Foil, Team",0.006993006993006993
FRA,"Fencing Men's Sabre, Individual",0.006993006993006993
FRA,"Fencing Men's Sabre, Team",0.01048951048951049
FRA,"Fencing Women's epee, Individual",0.01048951048951049
FRA,Gymnastics Men's Horizontal Bar,0.0034965034965034965
FRA,Gymnastics Men's Pommelled Horse,0.0034965034965034965
FRA,Judo Men's Half-Heavyweight,0.006993006993006993
FRA,Judo Men's Half-Lightweight,0.006993006993006993
FRA,Judo Men's Heavyweight,0.013986013986013986
FRA,Judo Men's Middleweight,0.0034965034965034965
FRA,Judo Women's Half-Heavyweight,0.013986013986013986
FRA,Judo Women's Half-Middleweight,0.013986013986013986
FRA,Rowing Men's Coxless Pairs,0.006993006993006993
